Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,USD,EUR,GBP,INR,AED,CNY
2004-06-14,7.9,7.9,7.5,7.61,7.695057034,26300.0,151.0,202380.0,3050.0,11.6,0.4,-0.29,385.1,318.67,211.88,17454.65,1414.47,3187.28
2004-06-15,6.75,7.3,6.75,7.02,7.157004558,26547.0,254.0,189997.0,12290.0,46.3,0.55,0.27,386.5,320.02,212.45,17527.77,1419.61,3198.91
2004-06-16,7.1,7.22,6.94,7.02,7.035025381,39400.0,128.0,277180.0,20900.0,53.05,0.28,-0.08,385.25,320.79,210.84,17459.53,1415.06,3188.52
2004-06-17,7.0,7.2,6.95,7.11,7.039955481,26955.0,129.0,189762.0,10705.0,39.71,0.25,0.11,386.1,320.81,210.63,17548.24,1418.18,3195.56
2004-06-18,7.3,7.3,7.15,7.23,7.231037754,26355.0,130.0,190574.0,2055.0,7.8,0.15,-0.07,395.1,325.84,214.93,18020.5,1451.2,3270.04
2004-06-21,7.1,8.0,7.0,7.65,7.626773504,46800.0,189.0,356933.0,32150.0,68.7,1.0,0.55,395.25,326.83,216.0,18130.12,1451.75,3271.29
2004-06-22,7.7,7.7,7.2,7.5,7.501781737,67350.0,171.0,505245.0,53100.0,78.84,0.5,-0.2,395.75,327.3,217.4,18283.65,1453.59,3275.58
2004-06-23,7.21,7.25,6.75,6.82,6.976970966,36302.0,179.0,253278.0,28751.0,79.2,0.5,-0.39,393.9,325.79,216.51,17991.37,1446.83,3260.23
2004-06-24,7.05,7.11,6.92,7.0,7.036006944,28800.0,70.0,202637.0,27600.0,95.83,0.19,-0.05,400.0,328.47,219.66,18330.0,1469.2,3310.6
2004-06-25,6.9,7.24,6.8,7.2,7.060620438,27400.0,153.0,193461.0,2300.0,8.39,0.44,0.3,401.5,330.79,220.45,18374.65,1474.71,3323.09
2004-06-28,7.05,7.74,7.05,7.59,7.4065,26000.0,142.0,192569.0,2900.0,11.15,0.69,0.54,404.25,331.61,221.03,18532.84,1484.85,3345.82
2004-06-29,7.7,7.7,7.35,7.61,7.554981273,26700.0,170.0,201718.0,4350.0,16.29,0.35,-0.09,394.4,325.51,218.15,18142.4,1448.67,3264.29
2004-06-30,7.53,7.9,7.51,7.89,7.628089552,33500.0,151.0,255541.0,24030.0,71.73,0.39,0.36,395.8,325.32,218.25,18196.89,1453.81,3275.84
2004-07-01,7.25,7.93,7.25,7.54,7.677262357,26300.0,158.0,201912.0,3300.0,12.55,0.68,0.29,394.8,324.74,217.48,18101.57,1450.1,3267.72
2004-07-02,7.5,7.74,7.45,7.61,7.551309524,25200.0,109.0,190293.0,1000.0,3.97,0.29,0.11,397.75,323.36,217.62,18177.17,1460.94,3292.02
2004-07-05,7.4,7.9,7.1,7.7,7.414646465,29700.0,140.0,220215.0,12300.0,41.41,0.8,0.3,398.25,324.51,217.86,18239.85,1462.81,3296.2
2004-07-06,7.21,7.8,7.21,7.72,7.61203125,25600.0,120.0,194868.0,8500.0,33.2,0.59,0.51,394.5,321.45,214.45,18147.0,1449.0,3265.2
2004-07-07,7.32,7.8,7.32,7.67,7.653442623,42700.0,198.0,326802.0,15600.0,36.53,0.48,0.35,399.65,323.28,215.55,18311.96,1467.91,3307.82
2004-07-08,7.75,7.75,7.32,7.65,7.620813513,51505.0,307.0,392510.0,5500.0,10.68,0.43,-0.1,405.35,326.88,218.2,18534.62,1488.85,3355.04
2004-07-09,7.95,7.95,6.8,7.59,7.644400582,48130.0,205.0,367925.0,10980.0,22.81,1.15,-0.36,406.5,328.11,219.31,18546.56,1493.11,3364.56
2004-07-12,7.57,7.57,7.0,7.05,7.225298013,45300.0,230.0,327306.0,9300.0,20.53,0.57,-0.52,406.35,327.53,218.03,18551.9,1492.56,3363.28
2004-07-13,6.9,7.3,6.9,7.17,7.127716186,45100.0,311.0,321460.0,6900.0,15.3,0.4,0.27,400.9,325.31,215.95,18371.24,1472.51,3318.17
2004-07-14,7.25,7.5,7.0,7.15,7.276274945,45100.0,318.0,328160.0,14000.0,31.04,0.5,-0.1,403.8,325.92,217.57,18544.5,1483.2,3342.13
2004-07-15,7.0,7.8,7.0,7.54,7.403400966,51750.0,302.0,383126.0,18750.0,36.23,0.8,0.54,403.15,325.87,217.58,18556.99,1480.79,3336.75
2004-07-16,7.54,7.75,7.35,7.59,7.522569373,48650.0,257.0,365973.0,5250.0,10.79,0.4,0.05,406.3,326.46,216.91,18649.16,1492.34,3362.74
2004-07-19,8.48,8.48,7.5,8.2,8.079515789,47500.0,302.0,383777.0,6250.0,13.16,0.98,-0.28,406.35,327.11,217.17,18718.5,1492.52,3363.2
2004-07-20,8.0,8.32,7.75,7.83,8.036848336,47302.0,288.0,380159.0,15651.0,33.09,0.57,-0.17,400.0,323.17,215.78,18424.0,1469.24,3310.6
2004-07-21,7.81,8.25,7.81,7.98,7.999567156,46206.0,297.0,369628.0,4306.0,9.32,0.44,0.17,398.5,325.98,217.1,18362.87,1463.69,3298.23
2004-07-22,7.62,8.3,7.62,8.02,7.931198257,45900.0,268.0,364042.0,5200.0,11.33,0.68,0.4,397.75,324.13,215.3,18395.94,1460.96,3291.98
2004-07-23,8.3,8.3,7.76,8.01,8.052721382,46300.0,113.0,372841.0,3100.0,6.7,0.54,-0.29,391.5,323.09,213.57,18126.45,1438.02,3240.25
2004-07-26,8.4,8.4,7.95,8.09,8.173438596,28500.0,171.0,232943.0,6500.0,22.81,0.45,-0.31,390.75,321.57,212.29,18083.91,1435.24,3234.08
2004-07-27,7.5,8.15,7.5,8.11,7.920817916,25675.0,175.0,203367.0,4125.0,16.07,0.65,0.61,389.85,323.06,213.68,18011.06,1431.92,3226.71
2004-07-28,8.45,8.45,7.8,8.2,8.070882353,23800.0,105.0,192087.0,800.0,3.36,0.65,-0.25,387.3,321.69,212.52,17912.62,1422.53,3205.64
2004-07-29,8.2,8.22,7.86,8.05,8.085697211,25100.0,121.0,202951.0,2600.0,10.36,0.36,-0.15,387.3,320.88,213.25,17970.71,1422.59,3205.64
2004-07-30,8.25,8.25,7.91,8.05,8.091991833,26448.0,115.0,214017.0,4349.0,16.44,0.34,-0.2,391.4,325.1,215.24,18151.17,1437.63,3239.62
2004-08-02,7.95,8.19,7.85,8.15,8.031169355,24800.0,129.0,199173.0,3200.0,12.9,0.34,0.2,391.5,325.29,214.35,18128.4,1437.98,3240.45
2004-08-03,8.25,9.4,7.6,8.59,8.257914016,25935.0,155.0,214169.0,7025.0,27.09,1.8,0.34,390.95,324.1,214.45,18110.76,1436.0,3235.89
2004-08-04,9.22,9.22,8.02,8.19,8.634254353,26420.0,82.0,228117.0,3320.0,12.57,1.2,-1.03,391.5,324.75,214.61,18140.15,1437.98,3240.25
2004-08-05,8.32,9.0,8.0,8.35,8.427371695,32150.0,199.0,270940.0,7380.0,22.95,1.0,0.03,390.85,324.45,214.5,18123.71,1435.63,3234.87
2004-08-06,8.75,8.89,8.0,8.05,8.267638822,29282.0,193.0,242093.0,8100.0,27.66,0.89,-0.7,399.0,325.51,216.36,18475.69,1465.57,3302.52
2004-08-09,7.85,8.55,7.85,8.4,8.334652644,26529.0,99.0,221110.0,5229.0,19.71,0.7,0.55,399.0,325.54,216.95,18507.61,1465.57,3302.48
2004-08-10,8.05,9.5,8.05,9.46,8.881410891,40400.0,222.0,358809.0,20700.0,51.24,1.45,1.41,399.5,324.41,217.23,18516.82,1467.36,3306.7
2004-08-11,9.94,10.2,9.1,9.76,9.744333033,46674.0,188.0,454807.0,40002.0,85.71,1.1,-0.18,393.85,322.71,215.49,18227.37,1446.61,3259.7
2004-08-12,10.0,10.0,9.1,9.22,9.391723027,31050.0,131.0,291613.0,11950.0,38.49,0.9,-0.78,394.15,322.27,216.35,18201.84,1447.71,3262.18
2004-08-13,9.4,9.45,8.52,8.82,8.956850518,27903.0,147.0,249923.0,12080.0,43.29,0.93,-0.58,396.75,321.19,215.35,18353.65,1457.26,3283.82
2004-08-16,9.25,9.25,8.1,8.26,8.474798762,32300.0,225.0,273736.0,11300.0,34.98,1.15,-0.99,401.65,325.39,218.25,18610.44,1475.3,3324.42
2004-08-17,8.95,8.95,8.21,8.4,8.502480779,26403.0,187.0,224491.0,6199.0,23.48,0.74,-0.55,401.3,325.48,219.5,18584.19,1473.97,3321.36
2004-08-18,8.3,9.0,8.3,8.72,8.691337793,29900.0,159.0,259871.0,12000.0,40.13,0.7,0.42,402.45,327.39,220.81,18647.52,1478.24,3330.96
2004-08-19,9.4,9.4,8.6,8.71,8.790744681,18800.0,130.0,165266.0,6800.0,36.17,0.8,-0.69,406.5,328.92,221.85,18800.63,1493.11,3364.48
2004-08-20,8.75,8.95,8.3,8.5,8.543612903,15500.0,81.0,132426.0,7300.0,47.1,0.65,-0.25,410.55,333.09,225.44,18977.66,1507.97,3398.0
2004-08-23,8.8,8.8,8.12,8.21,8.415986842,15200.0,95.0,127923.0,2000.0,13.16,0.68,-0.59,410.6,336.35,226.22,18992.29,1508.15,3398.33
2004-08-24,8.3,8.45,8.02,8.44,8.272559,12966.0,35.0,107262.0,11900.0,91.78,0.43,0.14,406.2,335.11,226.24,18788.77,1491.79,3361.91
2004-08-25,8.2,8.2,8.1,8.2,8.182576943,17253.0,39.0,141174.0,17253.0,100.0,0.1,0.0,406.0,335.63,225.67,18812.01,1491.24,3360.3
2004-08-26,8.21,8.4,8.2,8.22,8.251048387,12400.0,43.0,102313.0,8400.0,67.74,0.2,0.01,406.05,335.83,226.26,18800.1,1491.46,3360.75
2004-08-27,7.6,8.2,7.6,8.05,8.002113821,12300.0,57.0,98426.0,10900.0,88.62,0.6,0.45,405.1,336.56,225.78,18741.94,1487.93,3352.81
2004-08-30,8.35,9.6,8.25,8.89,8.71064834,24154.0,121.0,210397.0,23154.0,95.86,1.35,0.54,405.1,336.41,225.84,18774.35,1487.93,3352.97
2004-08-31,8.75,8.8,8.32,8.41,8.539310345,15950.0,60.0,136202.0,12750.0,79.94,0.48,-0.34,407.25,335.1,226.38,18874.0,1495.83,3370.6
2004-09-01,8.26,8.55,7.5,7.64,8.101830758,36433.0,96.0,295174.0,25054.0,68.77,1.05,-0.62,407.65,334.95,227.29,18876.23,1497.3,3374.0
2004-09-02,8.0,8.32,7.8,7.85,7.913882259,5028.0,25.0,39791.0,5023.0,99.9,0.52,-0.15,406.1,334.09,226.95,18796.33,1491.6,3361.17
2004-09-03,8.0,8.05,7.82,7.95,7.9492,15000.0,123.0,119238.0,400.0,2.67,0.23,-0.05,401.15,332.81,225.89,18575.24,1473.46,3320.16
2004-09-06,8.05,8.3,8.05,8.07,8.166055162,15808.0,130.0,129089.0,5854.0,37.03,0.25,0.02,401.6,332.52,225.67,18610.14,1475.06,3323.84
2004-09-07,8.05,8.49,8.0,8.2,8.237190414,19946.0,138.0,164299.0,12271.0,61.52,0.49,0.15,398.1,329.62,224.62,18445.95,1462.26,3294.91
2004-09-08,8.45,8.45,8.01,8.16,8.159016393,18910.0,155.0,154287.0,9400.0,49.71,0.44,-0.29,396.3,326.78,222.19,18348.68,1455.61,3279.98
2004-09-09,8.01,8.5,7.95,7.97,8.193094694,19695.0,50.0,161363.0,14200.0,72.1,0.55,-0.04,398.7,327.7,223.56,18441.86,1464.42,3299.96
2004-09-10,8.01,8.45,7.95,8.03,8.008513425,15270.0,51.0,122290.0,6450.0,42.24,0.5,0.02,401.35,326.39,222.9,18548.38,1474.16,3321.81
2004-09-13,8.0,8.35,7.97,8.03,8.031633125,17292.0,73.0,138883.0,4090.0,23.65,0.38,0.03,399.3,326.11,222.36,18423.69,1466.63,3304.84
2004-09-14,8.0,8.25,7.51,7.83,7.851014818,16062.0,108.0,126103.0,4300.0,26.77,0.74,-0.17,405.25,329.97,225.13,18588.82,1488.48,3354.13
2004-09-15,8.5,8.5,7.71,7.85,7.880158506,17665.0,124.0,139203.0,6455.0,36.54,0.79,-0.65,404.45,332.98,227.72,18517.74,1485.58,3347.55
2004-09-16,7.5,7.95,7.1,7.19,7.362034954,28895.0,122.0,212726.0,26875.0,93.01,0.85,-0.31,403.4,332.33,225.45,18473.7,1481.69,3338.78
2004-09-17,8.38,8.38,7.0,7.01,7.492211341,43910.0,143.0,328983.0,39225.0,89.33,1.38,-1.37,405.7,333.51,226.58,18585.11,1490.14,3357.78
2004-09-20,7.49,7.5,7.23,7.39,7.37133758,15700.0,121.0,115730.0,4250.0,27.07,0.27,-0.1,404.3,332.83,226.75,18535.12,1485.03,3346.19
2004-09-21,7.4,7.6,7.4,7.54,7.525910448,16750.0,92.0,126059.0,6250.0,37.31,0.2,0.14,408.5,333.32,227.9,18713.38,1500.42,3380.95
2004-09-22,7.5,7.68,7.17,7.49,7.334054054,16650.0,57.0,122112.0,16350.0,98.2,0.51,-0.01,405.35,331.21,226.14,18573.13,1488.89,3354.88
